#,Seccion,Area,Nombre Area,Subarea,Nombre Subarea,Tipo,Pregunta,Opcion A,Opcion B,Opcion C,Respuesta correcta,Explicacion,Dificultad,Imagen URL,Tags,Piloto,Veces visto,Veces correcto,Stimulus ID,ID,Creada
1,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Validación vs. Verificación de requerimientos:,Son exactamente lo mismo,Validación: ¿producto correcto? / Verificación: ¿construido correctamente?,"Validación es automática, verificación es manual",B,Validación = '¿Estamos construyendo el producto CORRECTO?' Verificación = '¿Lo estamos construyendo CORRECTAMENTE?',medium,,,no,0,0,,308348e5-9b9b-4b08-b58a-276d51754dcf,2026-05-29T02:16:19.75535+00:00
2,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,'El sistema debe ser fácil de usar' viola la propiedad de:,Completitud,Consistencia,Verificabilidad,C,No es verificable porque no se puede medir. Debería ser: 'El 90% de usuarios completan la tarea en menos de 3 min'.,medium,,,no,0,0,,34942bc3-9e6a-454c-ac5d-82c6be42e80d,2026-05-29T02:16:19.75535+00:00
3,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Dos requerimientos se contradicen entre sí. ¿Qué propiedad del SRS se viola?,Completitud,Consistencia,Verificabilidad,B,La consistencia significa que no existen contradicciones entre requerimientos.,medium,,,no,0,0,,67b70a64-517b-4cc2-81e7-e55d31638284,2026-05-29T02:16:19.75535+00:00
4,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"En un sistema CRM para una empresa B2B en CDMX, se documenta: el sistema debera ser compatible con Windows 10/11 y macOS, soportar Chrome y Safari, y migrar de SQL Server a PostgreSQL en 2027. El equipo etiqueta los tres como NFR de portabilidad. ¿Cual es la critica conceptual?",Los tres son NFR de portabilidad porque hablan de plataformas,"Solo los dos primeros son NFR de portabilidad; la migracion DB de 2027 es restriccion del proyecto/futuro (timeline) y deberia gestionarse como decision arquitectonica con plan de evolucion, no como NFR del producto actual",Solo la migracion es portabilidad; los otros son funcionales,B,"Compatibilidad con SO/navegadores es NFR de portabilidad del producto. La migracion futura es decision arquitectonica/plan de evolucion, no NFR del producto actual; documentarla como NFR confunde lo que el sistema debe ofrecer hoy. La opcion b confunde plan futuro con NFR. La opcion c invierte el analisis.",hard,,,no,0,0,,95b6ba4f-386d-4d44-a9e1-2a3eed7678ca,2026-05-29T10:42:52.206288+00:00
5,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Un sistema de votacion en linea para una asamblea de accionistas debe cumplir la Ley General de Sociedades Mercantiles, registrar votos con sello de tiempo, y permitir auditoria posterior. Un analista los marca todos como funcionales. Considerando IEEE 830 e ISO 25010, ¿como debe documentarse?",Todos son funcionales y se cubren con el caso de uso 'votar',Cumplir LGSM es requerimiento de dominio legal; registrar voto con sello de tiempo es funcional con NFR de integridad; auditoria posterior es funcional pero con NFR de trazabilidad/auditabilidad,Todos son no funcionales por estar relacionados con cumplimiento,B,El cumplimiento de LGSM es de dominio. Registrar voto es funcional con NFR de integridad. Auditoria posterior es funcional con NFR de auditabilidad. Cada uno requiere trazabilidad a su origen. La opcion b oculta los NFR criticos. La opcion c ignora que hay funciones concretas.,hard,,,no,0,0,,e54aa91e-a568-4630-a1c6-98a5b4555040,2026-05-29T10:42:52.206288+00:00
6,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Un requerimiento debe ser 'rastreable'. Esto significa que:,Debe escribirse en un lenguaje de programación,Debe poder identificarse su origen y seguirse hasta su implementación y pruebas,Debe poder borrarse fácilmente,B,Rastreable = cada requerimiento tiene un identificador único y se puede seguir desde su origen hasta el código y las pruebas que lo validan.,medium,,,no,0,0,,e0d9cd4c-f813-4688-b2b0-6b9c08fb057b,2026-05-29T02:16:19.75535+00:00
7,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Cual es el tipo de requerimiento que describe lo que el sistema DEBE hacer?,Requerimiento de dominio,Requerimiento no funcional,Requerimiento funcional,C,Los requerimientos funcionales describen las funciones y servicios que el sistema debe proveer.,easy,,,no,0,0,,ff2b8406-e929-4011-bb86-3ee880d31705,2026-05-26T05:25:12.035914+00:00
8,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"En un sistema de control de inventario para una farmacia, se documenta: el sistema debe alertar cuando un medicamento controlado este por caducar en menos de 90 dias, generar reportes COFEPRIS mensuales, y bloquear ventas a menores en productos restringidos. ¿Como deben clasificarse?",Alertar es funcional; reportes COFEPRIS son funcionales con dominio regulatorio sanitario; bloquear ventas a menores es funcional con regla de dominio legal,Los tres son de dominio porque pertenecen a farmacias,Los tres son funcionales sin distincion,A,"Las tres son acciones del sistema (funcional), pero dos derivan de regulacion COFEPRIS y la prohibicion a menores que son requerimientos de dominio anidados. Documentar la doble naturaleza permite trazabilidad regulatoria. La opcion b confunde dominio con sector. La opcion c pierde la raiz regulatoria.",medium,,,no,0,0,,10b465c5-b4ab-40d0-a854-cbdd458da37a,2026-05-29T10:42:52.206288+00:00
9,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,¿Cuál es la principal diferencia entre un requerimiento funcional y uno no funcional?,El funcional es obligatorio y el no funcional es opcional,"El funcional describe QUÉ hace el sistema; el no funcional describe CÓMO se comporta (rendimiento, seguridad, etc.)",El funcional lo define el cliente y el no funcional el programador,B,Funcional = funciones del sistema ('permitir login'). No funcional = cualidades ('responder en <2 seg').,medium,,,no,0,0,,cb2c49fa-b781-4342-afeb-1e5a2346e091,2026-05-29T02:16:19.75535+00:00
10,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Considere el siguiente caso: durante una reunion de levantamiento, el cliente de una plataforma de e-commerce indica que el sistema debera permitir al usuario agregar productos al carrito de compras y proceder al pago con tarjeta o transferencia. ¿A que tipo de requerimiento corresponde este enunciado?",Requerimiento de dominio regulatorio,Requerimiento funcional,Requerimiento no funcional de rendimiento,B,"El enunciado describe QUE debe hacer el sistema (agregar productos y procesar pagos), lo que define un requerimiento funcional. No menciona restricciones de calidad ni regulaciones del dominio.",easy,,,no,0,0,,95025474-7136-4412-aadc-4d74cc13fb9c,2026-05-29T05:21:04.055955+00:00
11,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,La técnica de análisis de documentos consiste en:,"Revisar formularios, reportes, manuales y documentos existentes para entender los procesos actuales",Entrevistar a todos los empleados,Crear prototipos del sistema,A,"Análisis de documentos: revisar documentación existente (formularios, reportes, políticas) para comprender procesos y datos actuales.",medium,,,no,0,0,,4f4d63dd-e6e7-4d67-8e66-6078b54b91da,2026-05-29T02:16:19.75535+00:00
12,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Considere el siguiente caso: un sistema de control aereo requiere fallar de forma segura ante una caida, es decir, mantener el control en modo degradado sin perder informacion critica. ¿Que tipo de requerimiento no funcional aplica?",Usabilidad,Confiabilidad y tolerancia a fallos,Escalabilidad,B,"El comportamiento ante fallas para no perder informacion ni el control es tolerancia a fallos, sub-atributo de confiabilidad. Usabilidad y escalabilidad no abordan el manejo de fallas.",medium,,,no,0,0,,fd8d884a-10a0-44ea-b0b0-f7d8bf3285ae,2026-05-29T05:21:04.055955+00:00
13,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Durante el levantamiento de requerimientos de un sistema bancario, el analista documenta lo siguiente: 'El sistema debe procesar cada transferencia interbancaria en un tiempo máximo de 3 segundos bajo una carga de 500 usuarios concurrentes'. De acuerdo con la clasificación de la norma IEEE 29148, ¿de qué tipo de requerimiento se trata?","Requerimiento funcional, porque describe una acción que el sistema realiza","Requerimiento no funcional de desempeño, porque establece una restricción cuantificable sobre el tiempo de respuesta y la carga","Restricción de dominio, porque proviene del sector financiero",B,"La IEEE 29148 distingue requerimientos funcionales (qué hace el sistema) de los no funcionales o de calidad (cómo debe hacerlo). 'Procesar en 3 segundos bajo 500 usuarios' especifica desempeño y capacidad, atributos de calidad medibles; por lo tanto es un requerimiento no funcional. Fuente: 'Tipos de requerimientos.pdf' (Drive Área 1).",medium,,"requerimientos,IEEE29148,no-funcional",no,0,0,,7a00f176-a329-5a5a-84d3-a2d845e5d478,2026-05-30T17:06:13.431257
14,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Una startup de logística debe cumplir con la Ley Federal de Protección de Datos Personales en Posesión de los Particulares para almacenar información de sus clientes. El equipo redacta: 'El sistema debe cifrar en reposo todos los datos personales con AES-256'. Esta especificación es un ejemplo de:,Requerimiento funcional de seguridad,Requerimiento no funcional de tipo restricción regulatoria/normativa,Caso de uso de administración,B,"Las restricciones regulatorias son una subcategoría de requerimientos no funcionales según Sommerville (cap. 4) que se derivan de leyes, normas o estándares externos. El cifrado AES-256 es una medida técnica derivada de cumplir LFPDPPP, no una funcionalidad de negocio.",medium,,"requerimientos,no-funcional,seguridad",no,0,0,,9e7071cd-42d1-53b9-b84e-9e05c96700a3,2026-05-30T17:06:13.431297
15,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Una cadena de supermercados desea un sistema POS que se integre con el SAT para emitir CFDI 4.0, soportar 80 transacciones por segundo en hora pico y permitir devoluciones con autorizacion del gerente. Un consultor argumenta que la emision CFDI 4.0 es funcional porque el sistema lo hace. ¿Cual es la clasificacion mas precisa?",Todos son funcionales porque describen acciones del sistema,La emision CFDI 4.0 es funcional pero el formato especifico es requerimiento de dominio fiscal mexicano; 80 TPS es NFR de rendimiento; la autorizacion del gerente es funcional con regla de negocio,CFDI 4.0 y autorizacion son de dominio; 80 TPS es funcional,B,"Emitir es funcional pero el formato CFDI 4.0 proviene del SAT, dominio fiscal. 80 TPS es NFR medible. Autorizacion del gerente es funcional con regla. La opcion b ignora la dimension de calidad y dominio. La opcion c clasifica mal 80 TPS como funcional cuando es restriccion de calidad.",hard,,,no,0,0,,89475816-96c1-4d6a-ba87-2aa14e429aba,2026-05-29T10:42:52.206288+00:00
16,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Un requerimiento 'El sistema procesará pagos con tarjeta Visa y Mastercard' es de tipo:,Funcional,De dominio,No funcional de seguridad,A,Es funcional porque describe una función específica que el sistema debe realizar (procesar pagos con tarjetas específicas).,medium,,,no,0,0,,1c780c8e-011f-436b-8c3c-4a1c4c71444e,2026-05-29T02:16:19.75535+00:00
17,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Las historias de usuario en formato ágil siguen la estructura:,"Como [rol], quiero [funcionalidad], para [beneficio]",Si... entonces... sino...,Dado que... cuando... entonces...,A,"Historia de usuario: 'Como [tipo de usuario], quiero [acción], para [beneficio/valor]'. Es la forma ágil de expresar requerimientos.",medium,,,no,0,0,,f4431134-4e2d-485b-9d8d-774e2bbc9b09,2026-05-29T02:16:19.75535+00:00
